CONTEC DATA LOGGER,,,,,,,,
Version,Channels,DeviceName,Resolution,SerialNo,Clock,Time Integer,SamplingStartDate,Number
4480,3,AIO-163202FX-USB,16,CONTEC0000,1000,1.49137E+15,"2017/04/05 15:20:26'000""000",10000
ChannelName,DeviceCh,Sequence,Range,ScalingEnabled,MaxScale,MinScale,Option,
Channel 1,1,0,0,0,10,-10,0,
Channel 2,2,1,0,0,10,-10,0,
Channel 3,3,2,0,0,10,-10,0,
Data,,,,,35398.1061,35358.7681,35532.8537,
35405,35367,35558,,,,,,
35408,35368,35551,,,,,,
35406,35370,35552,,,,,,
35400,35368,35558,,,,,,
35401,35371,35559,,,,,,
35404,35374,35558,,,,,,
35402,35373,35554,,,,,,
35405,35372,35556,,,,,,
35406,35373,35558,,,,,,
35405,35370,35554,,,,,,
35405,35371,35557,,,,,,
35408,35377,35559,,,,,,
35405,35372,35553,,,,,,
35400,35381,35559,,,,,,
35398,35379,35557,,,,,,
35405,35383,35557,,,,,,
35404,35376,35550,,,,,,
35401,35383,35549,,,,,,
35400,35379,35549,,,,,,
35398,35368,35556,,,,,,
35402,35373,35553,,,,,,
35401,35365,35551,,,,,,
35400,35377,35554,,,,,,
35400,35379,35556,,,,,,
35402,35378,35554,,,,,,
35399,35374,35556,,,,,,
35400,35372,35564,,,,,,
35404,35372,35558,,,,,,
35401,35369,35558,,,,,,
35400,35370,35553,,,,,,
35397,35368,35556,,,,,,
35401,35371,35559,,,,,,
35401,35366,35560,,,,,,
35408,35372,35559,,,,,,
35404,35368,35553,,,,,,
35401,35369,35557,,,,,,
35405,35364,35550,,,,,,
35400,35368,35553,,,,,,
35400,35372,35551,,,,,,
35400,35375,35551,,,,,,
35405,35375,35559,,,,,,
35402,35376,35552,,,,,,
35403,35367,35555,,,,,,
35401,35368,35553,,,,,,
35401,35366,35554,,,,,,
35403,35373,35557,,,,,,
35404,35372,35557,,,,,,
35404,35368,35554,,,,,,
35400,35371,35555,,,,,,
35402,35367,35556,,,,,,
35403,35364,35553,,,,,,
35405,35371,35550,,,,,,
35399,35373,35556,,,,,,
35400,35373,35553,,,,,,
35405,35369,35555,,,,,,
35405,35360,35553,,,,,,
35401,35361,35546,,,,,,
35408,35365,35549,,,,,,
35407,35372,35559,,,,,,
35410,35377,35553,,,,,,
35405,35372,35560,,,,,,
35405,35375,35560,,,,,,
35404,35375,35552,,,,,,
35402,35374,35553,,,,,,
35407,35368,35551,,,,,,
35405,35372,35554,,,,,,
35404,35370,35557,,,,,,
35408,35372,35561,,,,,,
35400,35377,35556,,,,,,
35400,35374,35559,,,,,,
35399,35372,35560,,,,,,
35393,35368,35554,,,,,,
35400,35377,35549,,,,,,
35401,35371,35548,,,,,,
35402,35375,35559,,,,,,
35402,35370,35552,,,,,,
35401,35365,35548,,,,,,
35401,35367,35551,,,,,,
35403,35366,35553,,,,,,
35406,35364,35557,,,,,,
35402,35368,35557,,,,,,
35403,35370,35557,,,,,,
35401,35370,35554,,,,,,
35406,35371,35548,,,,,,
35404,35367,35556,,,,,,
35404,35374,35557,,,,,,
35401,35372,35559,,,,,,
35398,35373,35551,,,,,,
35401,35365,35558,,,,,,
35405,35367,35552,,,,,,
35404,35378,35550,,,,,,
35401,35379,35553,,,,,,
35406,35381,35557,,,,,,
35400,35382,35552,,,,,,
35403,35373,35555,,,,,,
35404,35365,35559,,,,,,
35407,35369,35558,,,,,,
35402,35371,35551,,,,,,
35403,35367,35546,,,,,,
35401,35366,35554,,,,,,
35401,35366,35556,,,,,,
35401,35367,35554,,,,,,
35400,35374,35555,,,,,,
35399,35374,35556,,,,,,
35400,35372,35558,,,,,,
35399,35365,35553,,,,,,
35401,35366,35549,,,,,,
35404,35366,35558,,,,,,
35400,35366,35554,,,,,,
35398,35368,35558,,,,,,
35403,35369,35549,,,,,,
35397,35369,35550,,,,,,
35400,35363,35546,,,,,,
35399,35364,35545,,,,,,
35400,35363,35548,,,,,,
35402,35366,35554,,,,,,
35401,35372,35549,,,,,,
35407,35368,35552,,,,,,
35400,35368,35554,,,,,,
35404,35361,35550,,,,,,
35402,35365,35559,,,,,,
35404,35368,35556,,,,,,
35401,35372,35553,,,,,,
35403,35373,35551,,,,,,
35404,35369,35557,,,,,,
35400,35367,35557,,,,,,
35401,35370,35558,,,,,,
35405,35371,35559,,,,,,
35401,35375,35559,,,,,,
35399,35368,35552,,,,,,
35403,35371,35556,,,,,,
35404,35368,35558,,,,,,
35404,35361,35551,,,,,,
35400,35363,35553,,,,,,
35397,35373,35553,,,,,,
35401,35372,35550,,,,,,
35400,35365,35548,,,,,,
35404,35367,35550,,,,,,
35397,35371,35549,,,,,,
35398,35364,35546,,,,,,
35402,35372,35555,,,,,,
35405,35377,35559,,,,,,
35403,35375,35556,,,,,,
35404,35372,35556,,,,,,
35400,35373,35555,,,,,,
35400,35372,35554,,,,,,
35404,35369,35558,,,,,,
35405,35378,35553,,,,,,
35406,35373,35557,,,,,,
35402,35368,35556,,,,,,
35402,35368,35555,,,,,,
35400,35372,35549,,,,,,
35403,35370,35553,,,,,,
35402,35364,35546,,,,,,
35403,35370,35548,,,,,,
35399,35369,35550,,,,,,
35402,35373,35547,,,,,,
35403,35366,35551,,,,,,
35400,35366,35550,,,,,,
35401,35369,35548,,,,,,
35407,35368,35540,,,,,,
35405,35367,35551,,,,,,
35405,35372,35556,,,,,,
35402,35370,35559,,,,,,
35402,35366,35557,,,,,,
35404,35367,35552,,,,,,
35402,35369,35551,,,,,,
35405,35377,35552,,,,,,
35407,35370,35559,,,,,,
35401,35368,35559,,,,,,
35405,35374,35556,,,,,,
35402,35381,35551,,,,,,
35399,35374,35557,,,,,,
35401,35377,35554,,,,,,
35400,35370,35548,,,,,,
35401,35369,35548,,,,,,
35403,35373,35548,,,,,,
35400,35369,35547,,,,,,
35398,35371,35551,,,,,,
35403,35368,35550,,,,,,
35401,35371,35547,,,,,,
35403,35380,35547,,,,,,
35402,35374,35549,,,,,,
35401,35374,35548,,,,,,
35396,35371,35557,,,,,,
35400,35373,35552,,,,,,
35402,35364,35555,,,,,,
35403,35369,35549,,,,,,
35400,35368,35556,,,,,,
35402,35362,35548,,,,,,
35400,35362,35547,,,,,,
35400,35373,35548,,,,,,
35398,35366,35544,,,,,,
35401,35363,35553,,,,,,
35399,35366,35553,,,,,,
35400,35368,35553,,,,,,
35402,35366,35543,,,,,,
35400,35374,35543,,,,,,
35402,35375,35551,,,,,,
35403,35372,35548,,,,,,
35405,35373,35546,,,,,,
35403,35373,35548,,,,,,
35401,35378,35547,,,,,,
35400,35374,35548,,,,,,
35399,35374,35555,,,,,,
35406,35373,35554,,,,,,
35402,35375,35555,,,,,,
35402,35373,35555,,,,,,
35404,35370,35557,,,,,,
35400,35368,35564,,,,,,
35407,35372,35555,,,,,,
35404,35371,35552,,,,,,
35404,35375,35554,,,,,,
35398,35372,35548,,,,,,
35404,35369,35552,,,,,,
35403,35370,35552,,,,,,
35405,35368,35554,,,,,,
35408,35376,35549,,,,,,
35408,35369,35552,,,,,,
35404,35373,35549,,,,,,
35400,35377,35552,,,,,,
35404,35368,35554,,,,,,
35399,35374,35553,,,,,,
35403,35373,35546,,,,,,
35404,35370,35553,,,,,,
35408,35374,35556,,,,,,
